Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,CatalogItemEntity,6,0,12,12,43,12,0,0,0.25,2,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,InventoryEntity,4,0,10,10,35,10,0,0,0.2,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,10,0,20,20,71,20,0,0,0.1,2,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,OrderItem,4,0,6,6,23,6,0,0,0.3333333333333333,2,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Product,0,0,14,0,19,14,1,0,-1.0,3,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,ProductImpl,7,0,15,15,53,15,0,1,0.5333333333333333,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Promotion,2,0,7,7,26,7,0,0,0.2857142857142857,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,ShoppingCart,7,0,17,17,65,19,0,0,0.11764705882352941,5,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,ShoppingCartItem,5,0,11,11,42,11,0,0,0.18181818181818182,2,2
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.rest,CartEndpoint,2,0,6,5,81,11,0,0,0.0,0,4
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.rest,OrderEndpoint,2,0,2,2,10,2,0,0,0.0,0,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.rest,ProductEndpoint,2,0,2,2,12,2,0,0,0.0,0,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.rest,RestApplication,0,0,0,0,2,0,0,0,-1.0,0,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.service,CatalogService,3,0,4,4,26,4,0,0,0.5,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.service,OrderService,1,0,3,3,16,3,0,0,0.0,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.service,ProductService,2,0,3,3,15,4,0,0,0.6666666666666666,2,3
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.service,PromoService,4,0,6,6,52,14,0,0,0.3333333333333333,1,3
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.service,ShippingService,0,0,1,1,21,7,0,0,-1.0,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.service,ShoppingCartService,5,0,6,5,58,12,0,0,0.3333333333333333,1,5
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.utils,DataBaseMigrationStartup,2,0,1,0,20,2,0,0,0.0,0,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.utils,Producers,1,0,1,1,6,1,0,0,0.0,0,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.utils,StartupListener,1,0,2,2,9,2,0,0,0.0,0,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.utils,Transformers,3,0,3,3,60,5,0,0,1.0,1,5
workshop-migrate-jboss-on-app-service,weblogic.application,ApplicationLifecycleEvent,0,0,0,0,2,0,0,0,-1.0,2,0
workshop-migrate-jboss-on-app-service,weblogic.application,ApplicationLifecycleListener,0,0,4,4,11,4,0,0,-1.0,0,1
workshop-migrate-jboss-on-app-service,weblogic.i18n.logging,NonCatalogLogger,0,0,3,3,8,3,0,0,-1.0,1,0
